Data Series,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Class 2,130093,131625,132390,132562,133857,142381,143690,142779,141406,139933,139364,137439,132421,131899
Class 2a,195891,196836,196544,195677,196030,203175,204266,202765,200794,198876,197403,193962,187280,184834
Class 2b,527200,525470,515691,506195,500413,498923,485832,471380,456562,442268,433684,418776,393352,376496
Class 3,1791543,1792694,1785547,1772119,1770980,1782907,1754554,1708289,1660253,1611744,1573714,1517384,1436033,1372655
Class 3a,218843,201378,182736,163385,146414,130254,114603,100655,87204,74528,60935,47081,33843,22049
Class 3c,86403,78787,61380,43745,29732,12028,na,na,na,na,na,na,na,na
Class 3ca,442,376,259,176,113,44,na,na,na,na,na,na,na,na
Class 4,137951,139727,141653,143095,143624,143959,144641,142954,141638,140924,140162,137696,134750,132928
Class 4a,18888,19177,19234,18587,18246,17614,16564,15249,14213,13140,12542,11989,10969,10225
Class 5,52252,54606,57134,59449,61627,63388,65364,65910,66348,67016,67404,67028,66023,65788