premium,arima_prediction,LR_prediction,LR2_prediction,LR_lasso_prediction,LR_ridge_prediction,sarima
38510.0,36973.06908192558,35261.76143040015,59468.87730738612,59428.30585458166,59421.11180972516,37501.07933740659
38941.0,37531.802644864416,37976.41924104123,63731.2528250943,63629.527088605195,63596.53559341302,37695.42914020228
38001.0,37075.139259087584,37997.141819748416,62205.01992245048,62114.5929573291,62084.36749823562,36091.692690171454
36426.0,37112.63853684821,37852.083768798126,63054.139798913806,62953.12656839857,62920.00183958892,34009.09568095534
34110.0,37300.409720491814,37748.47087526221,63508.14085825111,63403.870217631265,63370.19292635472,35692.91840910951
25000.0,36681.51813183,37976.41924104123,60702.07618163235,60602.96572200651,60567.84307926701,35194.74938189975
32699.0,36825.01025156511,37810.63861138376,62407.1567464113,62295.57510235301,62257.757822079046,35489.17320458059
33798.0,36683.0318001738,33065.168087438666,56347.34465212331,56250.39991561927,56223.178155810834,37566.57151217985
31997.0,36116.29739504501,32588.54877717344,55269.78895969145,55181.34357721636,55157.43699783649,37621.46581054358
30209.0,36314.02569835868,33230.94871709614,55288.31473643397,55218.26810131802,55200.03362546208,37094.10574555231
28000.0,35921.475416762725,33230.94871709614,56105.041769451964,56028.937080138305,56009.19167456116,35864.481345905646
28457.0,35537.121671990506,33148.0584022674,54745.39895279326,54689.89288080069,54676.954447279146,36973.45041584527
25556.0,35699.77756032467,33023.7229300243,53951.280827566996,53901.797267629285,53890.672734965076,35739.00774851185
28199.0,35169.848424092124,30018.949017482646,48847.58520891575,48860.002819069196,48874.776213574456,36176.629301820736
25000.0,35010.39024511225,30039.67159618983,50733.690359228654,50732.095800827396,50743.32246991548,35511.76905454942
23568.0,35058.3094152052,28796.3168737588,48511.76612218672,48508.392620184655,48519.54867163938,36804.16887171563
25501.0,34516.11266512628,28547.645929272596,48234.07273769564,48233.02333789247,48245.38271129438,36431.58223295793
25920.0,34549.49953554452,30101.83933231138,46247.63650301354,46267.59645577859,46286.088590860716,36677.84882841855
26170.0,34443.187320572,30039.67159618983,46941.88426412646,46956.76072936668,46974.14091768384,37157.35393171251
25689.0,33997.56105675062,33272.393874510504,51335.20789694916,51316.5085528598,51317.75008617877,36402.97890440534
26301.0,34143.77132568567,33521.06481899671,50562.0476276935,50548.818864488945,50550.80113544721,35145.10818465965
26309.0,33894.301549635304,33334.56161063205,50441.15455758304,50507.70979777662,50541.09062540677,34717.83796854038
26659.0,33614.43955500308,33521.06481899671,50037.67347115834,50107.02328476169,50140.633349059775,34477.61464442728
29159.0,33778.11903275215,33396.72934675361,51605.952285792504,51581.5769748188,51580.59536109782,34302.6871779307
33199.0,33439.20587272363,33458.897082875155,51783.94468002929,51758.18303505999,51756.699740145705,34960.607862664154
36704.0,33343.340921515344,38059.309555869964,56938.070694186186,56937.452208505856,56940.27229830427,35267.11775416174
27000.0,33443.853968130265,37147.516092753875,55396.90130584501,55408.68357445019,55416.883311508325,35778.46134784072
30009.0,33091.6251027443,38204.36760682025,54055.774409736245,54113.36858244176,54135.52913996841,36481.787549738714
26999.0,33150.08750722824,38204.36760682025,55547.9994870502,55594.52511417305,55613.92508324249,36039.3497702791
28589.0,33141.893235408075,38059.309555869964,54746.78220296908,54827.961534176604,54860.37178581883,36777.51977869255
26667.0,32850.50712420272,34080.57444409067,49166.22573075907,49293.02779804787,49346.795484843526,36360.05778586215
32725.0,33000.81103047009,45768.108834942344,64518.155682026,64477.95786437855,64455.055177456044,35919.580239091825
31917.0,32880.496618451245,45705.94109882079,64430.93523143594,64391.45044895596,64368.88151683034,35793.233920736304
31783.0,32701.42313632454,45830.27657106389,60921.63029981519,60932.88317687384,60926.13926050387,36443.42995471189
31759.0,32869.8183668536,45830.27657106389,62055.97625316463,62058.81514490562,62049.972709757945,36141.28201325354
34001.0,32670.150204616253,45809.55399235671,61433.28574987172,61443.4851281485,61436.911723278616,36800.32483661437
32309.0,32620.584402585944,45747.38625623516,61358.19413519488,61369.01658327451,61362.75449508213,37152.177265472244
30000.0,32743.39051269411,46099.670094257286,61934.92430245057,61936.92426068457,61926.99358970008,36611.089829589764
32000.0,32518.146682217037,46514.121668400956,61681.45128550573,61684.89084435768,61674.279769735025,35163.318140588126
33009.0,32580.57242310797,46369.06361745067,62861.35601744025,62860.63996859209,62849.97903292726,34550.274408370475
32889.0,32619.559821093768,46389.78619615786,63258.143384640854,63254.46214803202,63243.009696967376,34537.04535952508
35320.0,32424.813564704567,46265.45072391475,58087.64674735222,58071.57120139056,58056.64534913901,34239.17396563335
35010.0,32556.276099868344,46286.17330262194,57693.67747028654,57680.50215599383,57666.24767333068,34937.88408903591
30010.0,32504.790551547434,47363.7473953955,59608.09413402405,59571.05167585987,59546.947241185364,35298.84258273022
32999.0,32382.402508038613,47363.7473953955,59825.01805507837,59786.36656866189,59761.86082879445,35746.47829215257
32699.0,32529.53007114026,47446.63771022423,57873.713152730954,57891.239542488634,57886.396309323754,36401.788353728945
31210.0,32409.06724122631,47363.7473953955,58210.84959091233,58225.96338474959,58220.72632028043,35844.97800013082
31210.0,32376.648092155523,47363.7473953955,50007.988343585195,50027.83087020949,50015.9059004499,36629.350715176224
31210.0,32491.43056430904,47363.7473953955,55530.53495931144,55509.41412197819,55487.272544366635,36170.299626002474
31210.0,32341.02948956319,47363.7473953955,50515.409196811364,50594.0402909815,50605.54736316497,35747.66800089625
31210.0,32390.195063063915,47363.7473953955,49775.64677782808,49859.76504292125,49872.64066173081,35505.61578987881
31210.0,32442.041520777177,47363.7473953955,48992.827069063824,49130.164749878575,49162.96090095016,36167.561117933226
31210.0,32304.48927687477,47363.7473953955,49521.583105083766,49654.998750023515,49686.816712327265,35769.568616536635
33520.0,32406.65647426833,41001.915732290065,44528.17078858569,44653.53209533387,44692.02689225897,36402.23541833042
32699.0,32387.937601948197,40691.07705168231,45248.0223497209,45368.374571173,45406.39964916698,36769.8768186913
33000.0,32297.062650617907,46534.84424710814,49912.263286702524,49997.155817191364,50012.430545400726,36271.511248326264
35710.0,32414.055172117427,46286.17330262194,50246.44012383261,50329.118223063386,50344.46432476472,34811.973689813785
37766.0,32338.54901220088,46265.45072391475,49056.03445672043,49142.75964366815,49158.493482760816,34034.191546186434
38504.0,32310.94432191034,46286.17330262194,49114.40501328832,49200.67521147375,49216.2435999308,34183.92735109675
36534.0,32406.749435425983,48814.32790489836,50543.57109000809,50635.862888545314,50649.29961824041,33886.95919805883
37334.0,32302.457576456076,48731.437590069625,50821.81414666615,50912.13018960137,50925.28203964546,34532.00093115846
35990.0,32335.2547347376,47674.58607600325,49667.04164569828,49768.76899421471,49787.65900682828,35050.66328971212
37690.0,32385.495818020736,47570.973182467336,49851.28086015164,49951.751750914395,49970.58825542391,35472.76895778715
40714.0,32284.638170631944,47446.63771022423,53245.04075078267,53321.558530596056,53334.885279356604,36001.17071508975
40556.0,32359.0410050604,47633.140918588884,50806.65231125605,50901.058543503714,50918.37906944011,35390.18086130787
40609.0,32355.87220171768,47757.47639083199,63626.007724871364,63741.174476491506,63765.823154152065,36205.64616811262
40609.0,32285.23494754728,47757.47639083199,63375.96804094431,63492.98945623491,63518.10070262976,35654.83568077362
42000.0,32373.972648716783,49373.83752999233,66770.76728744194,66864.69732495127,66880.52933042165,35331.086745322704
41001.0,32325.709489538378,49000.83111326302,65921.4505555856,66022.0768573927,66040.51447449386,35021.54164961456
41996.0,32299.9550133288,49332.39237257796,65851.23549967654,65962.45558798462,65984.16543594899,35729.74368650261
44589.0,32376.00450876004,49353.11495128514,65866.88115806419,65977.9631685708,65999.58660616136,35334.28689809717
45600.0,32302.363810962546,49415.282687406696,69906.93677129978,69929.05955470624,69920.07860316797,35918.40932900219
49640.0,32321.707653341702,49270.224636456405,68569.136297561,68601.33637096696,68595.23258865126,36300.15164143172
48002.0,32365.677696441096,50472.13420147307,71164.3220611298,71204.1887523208,71200.9353878331,35801.19747111964
41801.0,32290.587012456956,50409.96646535152,70967.38468429752,71008.77823346178,71006.0615980305,34341.93714957612
48510.0,32342.832400915373,49933.34715508629,70281.09948620936,70304.06642071177,70294.58133758922,33572.07395240704
47821.0,32347.159373389128,50513.57935888744,71161.9142195541,71177.73098918781,71165.00736173427,33717.01872394783
45001.0,32291.479879404884,49746.84394672164,70000.30037629242,70026.27361482297,70018.10776013348,33423.13810696416
47010.0,32357.197630924064,50389.24388664433,71118.54609250714,71135.54194779365,71123.52590730361,34071.50210317647
45189.0,32326.460033935495,51031.64382656703,70392.56582874805,70470.01698675423,70479.28430925989,34585.43308565347
46689.0,32302.6449700521,51010.92124785985,70336.94383283496,70414.82959221728,70424.25728057281,35012.24610360303
47000.0,32361.59689741525,51052.36640527421,69897.45072061123,69977.91776812874,69987.79633851215,35540.10287965222
48000.0,32309.432757945968,51073.0889839814,70815.76477835776,70889.39822574529,70897.52046611483,34926.54384744959
47001.0,32319.309770293148,50803.695460788,68794.7540846336,68903.33693806613,68923.60949870892,35746.43233697011
52709.0,32356.15203300491,50907.308354323926,69122.46490637181,69228.50683980464,69247.8858105687,35192.79655549535
53709.0,32300.132330548797,56606.017498799476,76874.89497193252,76898.88240962362,76880.91105677668,34869.08512735284
55001.0,32335.958758125795,56585.29492009229,75726.15449913155,75758.68471964716,75742.89598136814,34562.27900771121
57010.0,32343.75203990927,56606.017498799476,76850.61904558103,76878.86605050307,76862.52900512339,35267.18217049093
58801.0,32299.92906706251,56647.462656213844,77306.94914596857,77331.76727977423,77314.47109985432,34873.63585289084
57599.0,32347.942317436697,56460.95944784919,100371.40360312055,100509.7094848599,100526.0989286419,35458.37655200292
57898.0,32328.820935114563,56709.63039233539,100749.56616624509,100884.80271793737,100899.8029736726,35837.72604034636
60761.0,32307.506526280078,56481.68202655637,102953.34685763723,103046.55171163018,103048.00563868499,35341.32275028538
63000.0,32352.617000612634,56606.017498799476,102355.54637787004,102453.053244413,102455.26829397172,33880.99671960713
68501.0,32315.851255373014,56709.63039233539,103824.16308537239,103941.57994122233,103952.8348471095,33110.25819084028
71556.0,32319.60984221243,56460.95944784919,103708.28704042253,103826.82772203448,103838.98659082006,33257.28496470995
72996.0,32349.768282440484,56606.017498799476,104752.61420436553,104808.95173517158,104797.61970870092,32961.559392556526
68699.0,32308.14109931173,56688.90781362821,103091.0294241409,103159.60361633085,103151.11562580237,33610.43157462713
